31.37,Jan-04
31.33,Feb-04
33.67,Mar-04
33.71,Apr-04
37.56,May-04
35.54,Jun-04
37.89,Jul-04
42.08,Aug-04
41.6,Sep-04
46.88,Oct-04
42.13,Nov-04
39.04,Dec-04
42.97,Jan-05
44.82,Feb-05
50.94,Mar-05
50.64,Apr-05
47.83,May-05
53.89,Jun-05
56.37,Jul-05
61.89,Aug-05
61.69,Sep-05
58.19,Oct-05
55.04,Nov-05
56.43,Dec-05
62.46,Jan-06
59.7,Feb-06
60.93,Mar-06
67.97,Apr-06
68.68,May-06
68.29,Jun-06
72.45,Jul-06
71.81,Aug-06
62.12,Sep-06
57.91,Oct-06
58.14,Nov-06
60.99,Dec-06
53.52,Jan-07
57.56,Feb-07
60.6,Mar-07
65.06,Apr-07
65.16,May-07
68.19,Jun-07
73.6,Jul-07
70.13,Aug-07
76.76,Sep-07
81.97,Oct-07
91.34,Nov-07
89.52,Dec-07
90.69,Jan-08
93.39,Feb-08
101.84,Mar-08
108.76,Apr-08
122.63,May-08
131.52,Jun-08
132.83,Jul-08
114.57,Aug-08
99.66,Sep-08
72.69,Oct-08
53.97,Nov-08
41.34,Dec-08
43.86,Jan-09
41.84,Feb-09
46.65,Mar-09
50.28,Apr-09
58.15,May-09
69.15,Jun-09
64.67,Jul-09
71.63,Aug-09
68.35,Sep-09
74.08,Oct-09
77.55,Nov-09
74.88,Dec-09
77.12,Jan-10
74.76,Feb-10
79.3,Mar-10
84.18,Apr-10
75.62,May-10
74.73,Jun-10
74.58,Jul-10
75.83,Aug-10
76.12,Sep-10
81.72,Oct-10
84.53,Nov-10
90.01,Dec-10
92.69,Jan-11
97.91,Feb-11
108.65,Mar-11
116.24,Apr-11
108.07,May-11
105.85,Jun-11
107.92,Jul-11
100.49,Aug-11
100.82,Sep-11
99.85,Oct-11
105.41,Nov-11
104.23,Dec-11
107.07,Jan-12
112.69,Feb-12
117.79,Mar-12
113.67,Apr-12
104.09,May-12
90.73,Jun-12
96.75,Jul-12
105.27,Aug-12
106.28,Sep-12
103.41,Oct-12
101.17,Nov-12
101.19,Dec-12
105.1,Jan-13
107.64,Feb-13
102.52,Mar-13
98.85,Apr-13
99.37,May-13
99.74,Jun-13
105.26,Jul-13
108.16,Aug-13
108.76,Sep-13
105.43,Oct-13
102.63,Nov-13
105.48,Dec-13
102.1,Jan-14
104.83,Feb-14
104.04,Mar-14
104.87,Apr-14
105.71,May-14
108.37,Jun-14
105.23,Jul-14
100.05,Aug-14
95.85,Sep-14
86.08,Oct-14
76.99,Nov-14
60.7,Dec-14
47.11,Jan-15
54.79,Feb-15
52.83,Mar-15
57.54,Apr-15
62.51,May-15
61.31,Jun-15
54.34,Jul-15
45.69,Aug-15
46.28,Sep-15
46.96,Oct-15
43.11,Nov-15
36.57,Dec-15
29.78,Jan-16
31.03,Feb-16
37.34,Mar-16
40.75,Apr-16
45.94,May-16
47.69,Jun-16
44.13,Jul-16
44.88,Aug-16
45.04,Sep-16
49.29,Oct-16
45.26,Nov-16
52.62,Dec-16
53.59,Jan-17
54.35,Feb-17
50.9,Mar-17
52.16,Apr-17
49.89,May-17
46.17,Jun-17
47.66,Jul-17
49.94,Aug-17
52.95,Sep-17
54.92,Oct-17
59.93,Nov-17
61.19,Dec-17
66.23,Jan-18
63.46,Feb-18
64.17,Mar-18
68.79,Apr-18
73.43,May-18
71.98,Jun-18
72.67,Jul-18
71.08,Aug-18
75.36,Sep-18
76.73,Oct-18
62.32,Nov-18
53.96,Dec-18
56.58,Jan-19
61.13,Feb-19
63.79,Mar-19
68.58,Apr-19
66.83,May-19
59.76,Jun-19
61.48,Jul-19
57.67,Aug-19
60.04,Sep-19
57.27,Oct-19
60.4,Nov-19
63.35,Dec-19
61.63,Jan-20
53.35,Feb-20
32.2,Mar-20
21.04,Apr-20
30.38,May-20
39.46,Jun-20
42.07,Jul-20
43.44,Aug-20
40.6,Sep-20
39.9,Oct-20
42.3,Nov-20
48.73,Dec-20
53.6,Jan-21
60.46,Feb-21
63.83,Mar-21
62.95,Apr-21
66.4,May-21
71.8,Jun-21
73.28,Jul-21
68.87,Aug-21
72.8,Sep-21
82.06,Oct-21
79.92,Nov-21
72.87,Dec-21
83.92,Jan-22
93.54,Feb-22
112.4,Mar-22
103.41,Apr-22
110.1,May-22
116.8,Jun-22
105.08,Jul-22
95.97,Aug-22
88.22,Sep-22
90.33,Oct-22
87.38,Nov-22
78.07,Dec-22
80.41,Jan-23
80.25,Feb-23
76.47,Mar-23
